name,marker,marker_size,problem,param,runner,retcode,total_time,sat,ce,sat1_time,sat1_ce,nbsat,start_time
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,12,3,P3,k1,cegar3,0,0.07s,UNSAT,1,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,12,3,P3,k2,cegar3,0,0.20s,UNSAT,3,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,12,3,P3,k4,cegar3,0,2.72s,SAT,4,0.25s,3,51,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,12,3,P3,k6,cegar3,0,1205.86s,SAT,10,0.40s,5,2658,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,13,3,P3,k1,cegar3,0,0.08s,UNSAT,1,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,13,3,P3,k2,cegar3,0,0.25s,UNSAT,3,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,13,3,P3,k4,cegar3,0,15.13s,SAT,7,0.19s,2,215,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,13,3,P3,k6,cegar3,0,215.05s,SAT,13,0.16s,2,1296,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,1,3,P3,k1,cegar3,0,0.07s,UNSAT,1,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,1,3,P3,k2,cegar3,0,0.36s,SAT,2,0.11s,1,6,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,1,3,P3,k4,cegar3,0,3.49s,SAT,5,0.11s,1,62,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,1,3,P3,k6,cegar3,0,19.52s,SAT,6,0.13s,1,340,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,14,3,P3,k1,cegar3,0,0.13s,UNSAT,2,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,14,3,P3,k2,cegar3,0,0.21s,UNSAT,3,,,0,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,14,3,P3,k4,cegar3,0,19.78s,SAT,7,0.37s,4,261,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,14,3,P3,k6,cegar3,0,142.29s,SAT,9,0.27s,4,1111,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,15,3,P3,k1,cegar3,0,0.10s,SAT,1,0.10s,1,1,0.00s
66_SIGNALING-PATHWAY-FOR-BUTANOL-PRODUCTION,15,3,P3,k2,cegar3,0,0.58s,SAT,2,0.17s,2,11,0.00s
