name,problem,param,runner,retcode,total_time,sat,ce,sat1_time,sat1_ce,nbsat,start_time
L4_2015_Flobak_et_al,P3,k2,complementary,0,5.69s,UNSAT,0,,,0,0.01s
L4_2015_Flobak_et_al,P3,k2,naive,0,181.19s,UNSAT,0,,,0,0.01s
L4_2015_Flobak_et_al,P3,k4,cegar1,124,597.73s,TO,117,0.04s,0,290,0.00s
L4_2015_Flobak_et_al,P3,k4,cegar2,124,595.14s,TO,106,0.04s,0,299,0.00s
L4_2015_Flobak_et_al,P3,k4,cegar3,0,85.25s,SAT,1,0.04s,0,1302,0.00s
L4_2015_Flobak_et_al,P3,k4,cegar4,0,70.35s,SAT,1,0.06s,1,1302,0.00s
L4_2015_Flobak_et_al,P3,k4,complementary,124,238.78s,TO,0,236.90s,0,225,0.01s
L4_2015_Flobak_et_al,P3,k4,naive,124,595.86s,TO,0,394.46s,0,56,0.01s
L4_2015_Flobak_et_al,P3,k6,cegar1,124,593.08s,TO,175,0.04s,0,85,0.00s
L4_2015_Flobak_et_al,P3,k6,cegar2,124,590.59s,TO,174,0.04s,0,69,0.00s
L4_2015_Flobak_et_al,P3,k6,cegar3,124,533.15s,TO,5,0.05s,0,3212,0.00s
L4_2015_Flobak_et_al,P3,k6,cegar4,124,529.42s,TO,5,0.06s,1,3321,0.00s
L4_2015_Flobak_et_al,P3,k6,complementary,124,239.43s,TO,0,237.48s,0,225,0.01s
L4_2015_Flobak_et_al,P3,k6,naive,124,0.01s,TO,0,,,0,0.01s
M1_2010_Calzone_et_al,P3,k1,cegar1,0,0.25s,SAT,9,0.25s,9,1,0.00s
M1_2010_Calzone_et_al,P3,k1,cegar2,0,0.27s,SAT,9,0.27s,9,1,0.00s
M1_2010_Calzone_et_al,P3,k1,cegar3,0,0.05s,SAT,2,0.05s,2,1,0.00s
M1_2010_Calzone_et_al,P3,k1,cegar4,0,0.04s,SAT,2,0.04s,2,1,0.00s
M1_2010_Calzone_et_al,P3,k1,complementary,0,0.04s,SAT,0,0.04s,0,1,0.00s
M1_2010_Calzone_et_al,P3,k1,naive,0,0.30s,SAT,0,0.30s,0,1,0.00s
M1_2010_Calzone_et_al,P3,k2,cegar1,0,33.69s,SAT,70,3.13s,34,36,0.00s
M1_2010_Calzone_et_al,P3,k2,cegar2,0,26.90s,SAT,71,2.85s,32,36,0.00s
M1_2010_Calzone_et_al,P3,k2,cegar3,0,0.58s,SAT,4,0.07s,3,36,0.00s
M1_2010_Calzone_et_al,P3,k2,cegar4,0,0.51s,SAT,4,0.06s,3,36,0.00s
M1_2010_Calzone_et_al,P3,k2,complementary,0,0.36s,SAT,0,0.04s,0,36,0.00s
M1_2010_Calzone_et_al,P3,k2,naive,0,9.70s,SAT,0,0.40s,0,36,0.00s
M1_2010_Calzone_et_al,P3,k4,cegar1,124,580.85s,TO,217,74.89s,109,7,0.00s
M1_2010_Calzone_et_al,P3,k4,cegar2,124,595.65s,TO,208,19.11s,71,7,0.00s
M1_2010_Calzone_et_al,P3,k4,cegar3,0,4.55s,SAT,8,0.07s,3,213,0.00s
M1_2010_Calzone_et_al,P3,k4,cegar4,0,4.38s,SAT,11,0.06s,3,213,0.00s
M1_2010_Calzone_et_al,P3,k4,complementary,0,54.77s,SAT,0,0.04s,0,213,0.00s
M1_2010_Calzone_et_al,P3,k4,naive,124,150.42s,TO,0,0.21s,0,115,0.00s
M1_2010_Calzone_et_al,P3,k6,cegar1,124,593.72s,TO,239,98.33s,131,9,0.00s
M1_2010_Calzone_et_al,P3,k6,cegar2,124,595.52s,TO,238,11.22s,59,6,0.00s
M1_2010_Calzone_et_al,P3,k6,cegar3,0,8.85s,SAT,9,0.06s,3,370,0.00s
M1_2010_Calzone_et_al,P3,k6,cegar4,0,10.71s,SAT,11,0.07s,3,370,0.00s
M1_2010_Calzone_et_al,P3,k6,complementary,124,459.53s,TO,0,0.04s,0,370,0.00s
M1_2010_Calzone_et_al,P3,k6,naive,124,537.89s,TO,0,0.37s,0,137,0.00s
M2_2015_Cohen_et_al,P3,k1,cegar1,0,0.01s,UNSAT,0,,,0,0.00s
M2_2015_Cohen_et_al,P3,k1,cegar2,0,0.01s,UNSAT,0,,,0,0.00s
M2_2015_Cohen_et_al,P3,k1,cegar3,0,0.01s,UNSAT,0,,,0,0.00s
M2_2015_Cohen_et_al,P3,k1,cegar4,0,0.03s,UNSAT,1,,,0,0.00s
M2_2015_Cohen_et_al,P3,k1,complementary,0,0.11s,UNSAT,0,,,0,0.03s
M2_2015_Cohen_et_al,P3,k1,naive,0,0.77s,UNSAT,0,,,0,0.03s
M2_2015_Cohen_et_al,P3,k2,cegar1,0,0.03s,UNSAT,1,,,0,0.00s
M2_2015_Cohen_et_al,P3,k2,cegar2,0,0.04s,UNSAT,1,,,0,0.00s
M2_2015_Cohen_et_al,P3,k2,cegar3,0,0.04s,UNSAT,1,,,0,0.00s
M2_2015_Cohen_et_al,P3,k2,cegar4,0,0.03s,UNSAT,1,,,0,0.00s
M2_2015_Cohen_et_al,P3,k2,complementary,0,0.62s,UNSAT,0,,,0,0.03s
M2_2015_Cohen_et_al,P3,k2,naive,0,18.66s,UNSAT,0,,,0,0.03s
M2_2015_Cohen_et_al,P3,k4,cegar1,0,55.87s,SAT,63,2.61s,22,14,0.00s
M2_2015_Cohen_et_al,P3,k4,cegar2,0,50.34s,SAT,64,0.67s,11,14,0.00s
M2_2015_Cohen_et_al,P3,k4,cegar3,0,0.63s,SAT,6,0.09s,2,14,0.00s
M2_2015_Cohen_et_al,P3,k4,cegar4,0,0.54s,SAT,6,0.11s,3,14,0.00s
M2_2015_Cohen_et_al,P3,k4,complementary,0,88.56s,SAT,0,7.48s,0,14,0.03s
M2_2015_Cohen_et_al,P3,k4,naive,124,338.42s,TO,0,338.42s,0,1,0.03s
M2_2015_Cohen_et_al,P3,k6,cegar1,124,598.49s,TO,171,0.03s,0,12,0.00s
M2_2015_Cohen_et_al,P3,k6,cegar2,124,593.57s,TO,177,0.03s,0,15,0.00s
M2_2015_Cohen_et_al,P3,k6,cegar3,0,2.30s,SAT,6,0.03s,0,78,0.00s
M2_2015_Cohen_et_al,P3,k6,cegar4,0,2.58s,SAT,7,0.05s,1,78,0.00s
M2_2015_Cohen_et_al,P3,k6,complementary,124,88.04s,TO,0,7.55s,0,14,0.03s
M2_2015_Cohen_et_al,P3,k6,naive,124,317.93s,TO,0,317.93s,0,1,0.03s
M3_2015_Remy_et_al,P3,k1,cegar1,1,,ERR 1,0,,,0,
M3_2015_Remy_et_al,P3,k1,cegar2,1,,ERR 1,0,,,0,
M3_2015_Remy_et_al,P3,k1,cegar3,1,,ERR 1,0,,,0,
M3_2015_Remy_et_al,P3,k1,cegar4,1,,ERR 1,0,,,0,
M3_2015_Remy_et_al,P3,k1,complementary,1,,ERR 1,0,,,0,
M3_2015_Remy_et_al,P3,k1,naive,1,,ERR 1,0,,,0,
M3_2015_Remy_et_al,P3,k2,cegar1,1,,ERR 1,0,,,0,
M3_2015_Remy_et_al,P3,k2,cegar2,1,,ERR 1,0,,,0,
M3_2015_Remy_et_al,P3,k2,cegar3,1,,ERR 1,0,,,0,
M3_2015_Remy_et_al,P3,k2,cegar4,1,,ERR 1,0,,,0,
M3_2015_Remy_et_al,P3,k2,complementary,1,,ERR 1,0,,,0,
M3_2015_Remy_et_al,P3,k2,naive,1,,ERR 1,0,,,0,
M3_2015_Remy_et_al,P3,k4,cegar1,1,,ERR 1,0,,,0,
M3_2015_Remy_et_al,P3,k4,cegar2,1,,ERR 1,0,,,0,
M3_2015_Remy_et_al,P3,k4,cegar3,1,,ERR 1,0,,,0,
M3_2015_Remy_et_al,P3,k4,cegar4,1,,ERR 1,0,,,0,
M3_2015_Remy_et_al,P3,k4,complementary,1,,ERR 1,0,,,0,
M3_2015_Remy_et_al,P3,k4,naive,1,,ERR 1,0,,,0,
M3_2015_Remy_et_al,P3,k6,cegar1,1,,ERR 1,0,,,0,
M3_2015_Remy_et_al,P3,k6,cegar2,1,,ERR 1,0,,,0,
M3_2015_Remy_et_al,P3,k6,cegar3,1,,ERR 1,0,,,0,
M3_2015_Remy_et_al,P3,k6,cegar4,1,,ERR 1,0,,,0,
M3_2015_Remy_et_al,P3,k6,complementary,1,,ERR 1,0,,,0,
M3_2015_Remy_et_al,P3,k6,naive,1,,ERR 1,0,,,0,
S1_2009_Sahin_et_al,P3,k1,cegar1,0,0.24s,SAT,8,0.06s,3,7,0.00s
S1_2009_Sahin_et_al,P3,k1,cegar2,0,0.27s,SAT,8,0.06s,3,7,0.00s
S1_2009_Sahin_et_al,P3,k1,cegar3,0,0.10s,SAT,2,0.03s,1,7,0.00s
S1_2009_Sahin_et_al,P3,k1,cegar4,0,0.09s,SAT,2,0.02s,1,7,0.00s
S1_2009_Sahin_et_al,P3,k1,complementary,0,0.04s,SAT,0,0.04s,0,7,0.00s
S1_2009_Sahin_et_al,P3,k1,naive,0,0.23s,SAT,0,0.04s,0,7,0.00s
S1_2009_Sahin_et_al,P3,k2,cegar1,0,3.60s,SAT,38,0.07s,4,9,0.00s
S1_2009_Sahin_et_al,P3,k2,cegar2,0,2.88s,SAT,35,0.07s,4,9,0.00s
S1_2009_Sahin_et_al,P3,k2,cegar3,0,0.12s,SAT,2,0.03s,1,9,0.00s
S1_2009_Sahin_et_al,P3,k2,cegar4,0,0.10s,SAT,2,0.02s,1,9,0.00s
S1_2009_Sahin_et_al,P3,k2,complementary,0,0.15s,SAT,0,0.04s,0,9,0.00s
S1_2009_Sahin_et_al,P3,k2,naive,0,1.40s,SAT,0,0.02s,0,9,0.00s
S1_2009_Sahin_et_al,P3,k4,cegar1,0,206.38s,SAT,182,0.92s,21,12,0.00s
S1_2009_Sahin_et_al,P3,k4,cegar2,0,242.34s,SAT,189,0.47s,15,12,0.00s
S1_2009_Sahin_et_al,P3,k4,cegar3,0,0.15s,SAT,2,0.03s,1,12,0.00s
S1_2009_Sahin_et_al,P3,k4,cegar4,0,0.13s,SAT,2,0.02s,1,12,0.00s
S1_2009_Sahin_et_al,P3,k4,complementary,0,1.15s,SAT,0,0.04s,0,12,0.00s
